response_id,comment_text,age,profession,time_period,crowding_level,waiting_time_min,sentiment_label,primary_category
333,"There were buses on the route, but not enough to reduce waiting fully.",28,Job Seeker,Morning Peak,Severe,16,Neutral,Availability
334,Staff behavior made the whole ride more unpleasant than it needed to be.,37,Healthcare Worker,Evening Peak,High,29,Negative,Staff Behavior
335,The bus doors were crowded and there was no support for people who need extra time to board.,19,Shopkeeper,Evening Peak,High,22,Negative,Accessibility
336,"I got enough information after asking around, though it was not very clear at first.",42,Driver,Evening Peak,Severe,14,Neutral,Information
337,The fare felt too high considering how crowded and uncomfortable the ride was.,29,Homemaker,Morning Peak,High,21,Negative,Cost
338,"The ride was tiring, but about what I normally expect from a local bus.",60,Factory Worker,Morning Peak,Moderate,8,Neutral,Comfort
339,I felt comparatively secure throughout the journey.,60,Factory Worker,Evening Peak,High,11,Positive,Safety
340,Staff behavior made the whole ride more unpleasant than it needed to be.,39,Driver,Evening Peak,High,58,Negative,Staff Behavior
341,Rush hour e safety niye onek tension lage. Driver o helper duijon e khub aggressive chilo.,24,Banker,Morning Peak,High,61,Negative,Safety
342,There seemed to be more buses on the road than usual.,29,Shopkeeper,Morning Peak,High,11,Positive,Availability
343,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",53,Student,Evening Peak,Moderate,22,Negative,Cleanliness
344,Crowding was less intense than I expected today.,23,Teacher,Morning Peak,Severe,9,Positive,Crowding
345,Staff behavior was okay overall.,24,Homemaker,Evening Peak,Severe,19,Neutral,Staff Behavior
346,"Nothing serious happened, but the route still feels a little risky during rush hour.",43,Job Seeker,Evening Peak,Severe,16,Neutral,Safety
347,The driver was braking so hard that everyone almost fell forward. I honestly did not feel safe.,50,Office Employee,Morning Peak,High,20,Negative,Safety
348,"The staff were not especially helpful, but they were not very rude either.",20,Small Business,Evening Peak,Severe,10,Neutral,Staff Behavior
349,"It was not cheap, but not unreasonable either.",47,Freelancer,Morning Peak,Low,18,Neutral,Cost
350,"During office time, availability is still poor. Demand is clearly higher than supply.",40,Small Business,Evening Peak,Severe,62,Negative,Availability
351,I paid more than usual today and there was no proper explanation from the conductor.,38,Driver,Evening Peak,Moderate,25,Negative,Cost
352,Rush hour e safety niye onek tension lage. Driver o helper duijon e khub aggressive chilo.,20,Homemaker,Morning Peak,Moderate,50,Negative,Safety
353,"Boarding was more orderly today, which made the trip feel safer.",33,Homemaker,Morning Peak,Moderate,12,Positive,Safety
354,"The bus came sooner than I expected, which almost never happens during peak hour.",43,Shopkeeper,Evening Peak,High,12,Positive,Delay
355,"A bus came after some waiting, so availability was average today.",51,Freelancer,Evening Peak,Moderate,16,Neutral,Availability
356,"The fare felt acceptable, though service quality could still improve.",21,Office Employee,Morning Peak,Severe,17,Neutral,Cost
357,"Vara ta service er sathe match kore na. Joto taka dei, toto quality pai na.",53,Homemaker,Morning Peak,High,48,Negative,Cost
358,I could stand comfortably enough without being pushed around too much.,57,Healthcare Worker,Morning Peak,High,7,Positive,Crowding
359,"For once, the trip moved smoothly and I reached on time.",49,Freelancer,Morning Peak,High,5,Positive,Delay
360,"The ride was still busy, but it felt more comfortable than usual.",23,Small Business,Morning Peak,High,3,Positive,Comfort
361,The driver was braking so hard that everyone almost fell forward. I honestly did not feel safe.,55,Factory Worker,Evening Peak,High,63,Negative,Safety
362,"I got enough information after asking around, though it was not very clear at first.",47,Driver,Evening Peak,Moderate,16,Neutral,Information
363,"Boarding took some effort, but I managed without much trouble.",39,Job Seeker,Morning Peak,High,9,Neutral,Accessibility
364,Helper er kotha bolar dhoron bhalo chilo na. Choto proshno korleo kharap bhabe jawab dicchilo.,24,Driver,Evening Peak,Severe,22,Negative,Staff Behavior
365,"The footpath near the stop was crowded and broken, so reaching the bus safely was not easy.",48,Office Employee,Morning Peak,High,42,Negative,Accessibility
366,"The ride was jerky, noisy, and uncomfortable, especially while standing.",25,Student,Evening Peak,Low,19,Negative,Comfort
367,"Too many passengers, no personal space, and constant pushing—this should not be normal.",46,Shopkeeper,Morning Peak,High,50,Negative,Crowding
368,"I expected a rough commute, but it was actually manageable.",50,Freelancer,Morning Peak,Severe,6,Positive,Comfort
369,"Peak time e bus kom thake, tai sobai ekta bus er upor chap pore jay.",18,Freelancer,Evening Peak,Moderate,30,Negative,Availability
370,This route is hard for elderly passengers. Even healthy people struggle to board during peak hours.,34,Homemaker,Morning Peak,High,26,Negative,Accessibility
371,I felt comparatively secure throughout the journey.,35,Teacher,Evening Peak,Severe,3,Positive,Safety
372,"I was standing at Farmgate for almost 40 minutes and still no bus came on time. For a weekday peak hour, this is exhausting.",58,Healthcare Worker,Morning Peak,Moderate,49,Negative,Delay
373,The bus doors were crowded and there was no support for people who need extra time to board.,59,Job Seeker,Morning Peak,Moderate,39,Negative,Accessibility
374,A little politeness would make a big difference for regular commuters.,28,Factory Worker,Morning Peak,Severe,57,Negative,Staff Behavior
375,"Between heat, noise, and crowding, this felt like a very draining commute.",34,Factory Worker,Morning Peak,High,56,Negative,Comfort
376,Aajke bus er jonno eto wait korte holo je matha noshto hoye gelo. Peak hour e regular service thakar kotha.,56,Student,Morning Peak,High,44,Negative,Delay
377,"For a local bus, the condition was actually acceptable today.",40,Job Seeker,Morning Peak,Moderate,4,Positive,Cleanliness
378,"For once, the trip moved smoothly and I reached on time.",43,Small Business,Evening Peak,Severe,10,Positive,Delay
379,"The ride was jerky, noisy, and uncomfortable, especially while standing.",33,Shopkeeper,Morning Peak,High,48,Negative,Comfort
380,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",40,Shopkeeper,Morning Peak,High,38,Negative,Cleanliness
381,"For once, the trip moved smoothly and I reached on time.",51,Banker,Evening Peak,High,10,Positive,Delay
382,"The local bus showed up very late today. By the time I reached my class, I was already behind schedule.",57,Homemaker,Morning Peak,Moderate,34,Negative,Delay
383,Helper er kotha bolar dhoron bhalo chilo na. Choto proshno korleo kharap bhabe jawab dicchilo.,47,Driver,Evening Peak,High,54,Negative,Staff Behavior
384,"Too many passengers, no personal space, and constant pushing to this should not be normal.",39,Factory Worker,Evening Peak,High,57,Negative,Crowding
385,"The fare felt acceptable, though service quality could still improve.",48,Office Employee,Morning Peak,Moderate,17,Neutral,Cost
386,Even a small sign or proper announcement could have made this trip easier.,49,Teacher,Morning Peak,Low,24,Negative,Information
387,"I got enough information after asking around, though it was not very clear at first.",43,Shopkeeper,Morning Peak,High,16,Neutral,Information
388,"Nothing serious happened, but the route still feels a little risky during rush hour.",50,Shopkeeper,Evening Peak,Severe,8,Neutral,Safety
389,"Everyone was squeezed together, and even moving one step inside felt impossible.",44,Freelancer,Morning Peak,Moderate,42,Negative,Crowding
390,"The ride was still busy, but it felt more comfortable than usual.",21,Office Employee,Evening Peak,Severe,8,Positive,Comfort
391,"I found a bus fairly quickly, even during the rush.",52,Small Business,Morning Peak,Severe,11,Positive,Availability
392,The bus did not stop properly and passengers had to get on while it was moving slowly. That is not safe at all.,26,Factory Worker,Evening Peak,High,22,Negative,Safety
393,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,30,Job Seeker,Evening Peak,Severe,30,Negative,Availability
394,The conductor spoke politely and guided passengers clearly.,54,Office Employee,Evening Peak,Severe,12,Positive,Staff Behavior
395,"The local bus showed up very late today. By the time I reached my work, I was already behind schedule.",45,Healthcare Worker,Evening Peak,High,24,Negative,Delay
396,I had to ask three people before confirming whether this bus was going my way.,33,Freelancer,Evening Peak,Severe,23,Negative,Information
397,I would say the cost was average for this route.,22,Teacher,Evening Peak,High,15,Neutral,Cost
398,Accessibility was average; it could be better for elderly passengers.,29,Student,Morning Peak,High,17,Neutral,Accessibility
399,Accessibility er dike khub kom attention ache. Peak hour e nama-utha duitae kosto.,34,Banker,Evening Peak,High,42,Negative,Accessibility
400,Helper er kotha bolar dhoron bhalo chilo na. Choto proshno korleo kharap bhabe jawab dicchilo.,25,Homemaker,Evening Peak,High,42,Negative,Staff Behavior
401,"It was not cheap, but not unreasonable either.",46,Office Employee,Morning Peak,Moderate,12,Neutral,Cost
402,"Safety was okay today, though the boarding process could be better.",20,Teacher,Morning Peak,Severe,19,Neutral,Safety
403,The bus doors were crowded and there was no support for people who need extra time to board.,38,Teacher,Morning Peak,Severe,56,Negative,Accessibility
404,The bus stopped properly and boarding was easier today.,33,Office Employee,Evening Peak,Moderate,7,Positive,Accessibility
405,Route information was just about manageable.,55,Job Seeker,Morning Peak,High,12,Neutral,Information
406,The fare felt too high considering how crowded and uncomfortable the ride was.,56,Freelancer,Evening Peak,Severe,31,Negative,Cost
407,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,52,Office Employee,Morning Peak,High,30,Negative,Safety
408,"The fare felt acceptable, though service quality could still improve.",38,Driver,Evening Peak,Severe,11,Neutral,Cost
409,"Same problem again—long wait, slow movement, and too many unnecessary stops. Morning peak in Dhaka feels impossible sometimes.",58,Homemaker,Morning Peak,High,18,Negative,Delay
410,"During office time, availability is still poor. Demand is clearly higher than supply.",34,Job Seeker,Morning Peak,High,29,Negative,Availability
411,"I found a bus fairly quickly, even during the rush.",60,Shopkeeper,Morning Peak,High,4,Positive,Availability
412,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",60,Teacher,Morning Peak,Moderate,23,Negative,Information
413,"There was some confusion, but I still reached the right destination.",33,Healthcare Worker,Morning Peak,High,17,Neutral,Information
414,"The vehicle looked poorly maintained, and it made an already tiring trip feel worse.",45,Job Seeker,Morning Peak,High,18,Negative,Cleanliness
415,"Boarding took some effort, but I managed without much trouble.",53,Job Seeker,Evening Peak,Severe,16,Neutral,Accessibility
416,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",49,Factory Worker,Evening Peak,Moderate,48,Negative,Cleanliness
417,"Compared with other days, today the cost felt reasonable.",20,Small Business,Evening Peak,Severe,9,Positive,Cost
418,The information given by staff was helpful and saved time.,56,Driver,Evening Peak,Moderate,4,Positive,Information
419,Getting on the bus was difficult because it barely stopped near the designated stop.,52,Freelancer,Morning Peak,High,64,Negative,Accessibility
420,A calm and respectful attitude from the staff made the ride easier.,51,Teacher,Evening Peak,High,6,Positive,Staff Behavior
421,Clear route and stop information would save passengers a lot of confusion.,29,Small Business,Morning Peak,Severe,31,Negative,Information
422,"I found a bus fairly quickly, even during the rush.",22,Job Seeker,Evening Peak,High,7,Positive,Availability
423,The driver was braking so hard that everyone almost fell forward. I honestly did not feel safe.,39,Teacher,Evening Peak,Moderate,31,Negative,Safety
424,"Too many passengers, no personal space, and constant pushing—this should not be normal.",59,Office Employee,Morning Peak,High,42,Negative,Crowding
425,"Boarding took some effort, but I managed without much trouble.",31,Healthcare Worker,Evening Peak,High,17,Neutral,Accessibility
426,"Boarding took some effort, but I managed without much trouble.",20,Healthcare Worker,Evening Peak,High,9,Neutral,Accessibility
427,"The ride was jerky, noisy, and uncomfortable, especially while standing.",29,Job Seeker,Morning Peak,Severe,40,Negative,Comfort
428,Getting on and off was smoother than usual.,28,Homemaker,Morning Peak,High,7,Positive,Accessibility
429,"Compared with other days, today the cost felt reasonable.",24,Banker,Evening Peak,Low,5,Positive,Cost
430,Bus e emon bhir chilo je neme jabar agei chinta hoye jacchilo kivabe gate porjonto jabo.,35,Homemaker,Evening Peak,Severe,46,Negative,Crowding
431,"The inside looked used and worn, but not worse than usual.",51,Teacher,Evening Peak,Moderate,9,Neutral,Cleanliness
432,"The ride was jerky, noisy, and uncomfortable, especially while standing.",52,Factory Worker,Morning Peak,Severe,28,Negative,Comfort
433,"For a local bus, the condition was actually acceptable today.",19,Banker,Morning Peak,Severe,5,Positive,Cleanliness
434,I felt comparatively secure throughout the journey.,32,Office Employee,Evening Peak,Severe,11,Positive,Safety
435,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,57,Student,Evening Peak,Severe,28,Negative,Availability
436,"Nothing serious happened, but the route still feels a little risky during rush hour.",49,Factory Worker,Evening Peak,Moderate,19,Neutral,Safety
437,Staff behavior made the whole ride more unpleasant than it needed to be.,44,Shopkeeper,Evening Peak,High,54,Negative,Staff Behavior
438,The bus was so full that I had to stand bent near the gate for almost the whole trip.,37,Job Seeker,Morning Peak,High,22,Negative,Crowding
439,"For a local bus, the condition was actually acceptable today.",43,Factory Worker,Evening Peak,High,7,Positive,Cleanliness
440,"The bus came sooner than I expected, which almost never happens during peak hour.",59,Job Seeker,Evening Peak,Severe,11,Positive,Delay
441,"The bus was not very clean, but it was acceptable for a regular local bus trip.",25,Banker,Morning Peak,High,12,Neutral,Cleanliness
442,"The vehicle looked poorly maintained, and it made an already tiring trip feel worse.",32,Healthcare Worker,Evening Peak,High,60,Negative,Cleanliness
443,"The ride was still busy, but it felt more comfortable than usual.",53,Student,Morning Peak,High,7,Positive,Comfort
444,Service frequency was neither very good nor very bad.,54,Healthcare Worker,Morning Peak,High,13,Neutral,Availability
445,"It was not cheap, but not unreasonable either.",42,Driver,Evening Peak,Moderate,9,Neutral,Cost
446,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,19,Homemaker,Evening Peak,High,21,Negative,Crowding
447,The conductor kept shouting instead of answering simple fare questions calmly.,27,Healthcare Worker,Evening Peak,High,41,Negative,Staff Behavior
448,"For daily commuting, the cleanliness is really below standard. The floor was messy and the windows looked untouched.",26,Healthcare Worker,Evening Peak,Moderate,64,Negative,Cleanliness
449,"If the service stays like this, the fare should not keep increasing.",46,Factory Worker,Evening Peak,High,33,Negative,Cost
450,The bus was so full that I had to stand bent near the gate for almost the whole trip.,33,Shopkeeper,Morning Peak,Moderate,48,Negative,Crowding
451,The seat condition was poor and there was no real comfort during the trip.,35,Office Employee,Morning Peak,High,42,Negative,Comfort
452,"The local bus showed up very late today. By the time I reached my campus, I was already behind schedule.",46,Banker,Evening Peak,Low,65,Negative,Delay
453,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",31,Healthcare Worker,Evening Peak,High,31,Negative,Information
454,"A bus came after some waiting, so availability was average today.",60,Factory Worker,Morning Peak,High,16,Neutral,Availability
455,Crowding was less intense than I expected today.,30,Teacher,Evening Peak,Severe,6,Positive,Crowding
456,"The inside of the bus was dusty, the seats were dirty, and there was a bad smell the whole way.",35,Small Business,Evening Peak,Severe,21,Negative,Cleanliness
457,"People were pushing near the gate while boarding, and it felt risky, especially for women and older passengers.",39,Shopkeeper,Evening Peak,Severe,44,Negative,Safety
458,"Safety was okay today, though the boarding process could be better.",36,Small Business,Evening Peak,High,14,Neutral,Safety
459,The helper was rude when passengers asked whether the bus would stop at the next point.,20,Healthcare Worker,Morning Peak,Moderate,51,Negative,Staff Behavior
460,"The bus was busy but still manageable, which is a relief during peak time.",55,Teacher,Morning Peak,Severe,8,Positive,Crowding
461,Rush hour e safety niye onek tension lage. Driver o helper duijon e khub aggressive chilo.,58,Homemaker,Evening Peak,Low,56,Negative,Safety
462,Accessibility was average; it could be better for elderly passengers.,60,Job Seeker,Evening Peak,High,13,Neutral,Accessibility
463,Clear route and stop information would save passengers a lot of confusion.,40,Healthcare Worker,Morning Peak,Low,48,Negative,Information
464,"The stop area was busy, though still usable.",30,Teacher,Morning Peak,Severe,17,Neutral,Accessibility
465,"Between heat, noise, and crowding, this felt like a very draining commute.",23,Healthcare Worker,Evening Peak,High,58,Negative,Comfort
466,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",46,Factory Worker,Evening Peak,Severe,33,Negative,Information
467,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,44,Driver,Evening Peak,High,60,Negative,Crowding
468,The information given by staff was helpful and saved time.,43,Factory Worker,Evening Peak,Severe,8,Positive,Information
469,Travel time was reasonable today and the service felt more reliable than usual.,60,Homemaker,Morning Peak,Severe,8,Positive,Delay
470,"For daily commuting, the cleanliness is really below standard. The floor was messy and the windows looked untouched.",19,Teacher,Morning Peak,High,47,Negative,Cleanliness
471,Even a small sign or proper announcement could have made this trip easier.,49,Office Employee,Morning Peak,Moderate,43,Negative,Information
472,The information given by staff was helpful and saved time.,50,Job Seeker,Evening Peak,High,8,Positive,Information
473,Travel time was reasonable today and the service felt more reliable than usual.,21,Banker,Evening Peak,Moderate,4,Positive,Delay
474,The fare is not the only issue—the unclear way they collect it creates arguments almost every day.,37,Driver,Evening Peak,Severe,61,Negative,Cost
475,"A bus came after some waiting, so availability was average today.",55,Office Employee,Morning Peak,Severe,14,Neutral,Availability
476,"The bus was not very clean, but it was acceptable for a regular local bus trip.",27,Job Seeker,Evening Peak,Moderate,10,Neutral,Cleanliness
477,"The inside of the bus was dusty, the seats were dirty, and there was a bad smell the whole way.",39,Student,Evening Peak,Moderate,57,Negative,Cleanliness
478,"There was some confusion, but I still reached the right destination.",50,Factory Worker,Evening Peak,High,11,Neutral,Information
479,This route is hard for elderly passengers. Even healthy people struggle to board during peak hours.,41,Job Seeker,Evening Peak,Severe,29,Negative,Accessibility
480,Service frequency was neither very good nor very bad.,20,Banker,Evening Peak,Moderate,14,Neutral,Availability
481,"Nothing serious happened, but the route still feels a little risky during rush hour.",29,Student,Evening Peak,High,8,Neutral,Safety
482,The bus doors were crowded and there was no support for people who need extra time to board.,39,Driver,Morning Peak,Severe,29,Negative,Accessibility
483,The helper was rude when passengers asked whether the bus would stop at the next point.,44,Factory Worker,Morning Peak,Moderate,18,Negative,Staff Behavior
484,"Safety was okay today, though the boarding process could be better.",36,Office Employee,Evening Peak,Low,19,Neutral,Safety
485,"Peak hour e local bus e comfort expect kora jay na, but ajke situation aro kharap chilo.",54,Student,Morning Peak,Severe,39,Negative,Comfort
486,"The ride was tiring, but about what I normally expect from a local bus.",19,Healthcare Worker,Evening Peak,High,8,Neutral,Comfort
487,A calm and respectful attitude from the staff made the ride easier.,22,Shopkeeper,Morning Peak,Severe,9,Positive,Staff Behavior
488,I paid more than usual today and there was no proper explanation from the conductor.,44,Homemaker,Evening Peak,High,44,Negative,Cost
489,"The stop access felt manageable, even during the busy hour.",21,Healthcare Worker,Morning Peak,Moderate,3,Positive,Accessibility
490,"Cleanliness was average today to nothing impressive, nothing terrible.",31,Banker,Evening Peak,High,16,Neutral,Cleanliness
491,Route information was just about manageable.,34,Shopkeeper,Morning Peak,Moderate,20,Neutral,Information
492,"I had to stand for part of the journey, though it was manageable.",20,Job Seeker,Morning Peak,High,13,Neutral,Crowding
493,I paid more than usual today and there was no proper explanation from the conductor.,41,Healthcare Worker,Evening Peak,Moderate,33,Negative,Cost
494,A calm and respectful attitude from the staff made the ride easier.,22,Freelancer,Evening Peak,High,6,Positive,Staff Behavior
495,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,18,Office Employee,Morning Peak,High,61,Negative,Availability
496,"If the service stays like this, the fare should not keep increasing.",57,Banker,Evening Peak,Severe,62,Negative,Cost
497,The bus did not stop properly and passengers had to get on while it was moving slowly. That is not safe at all.,33,Banker,Evening Peak,High,18,Negative,Safety
498,"Vara ta service er sathe match kore na. Joto taka dei, toto quality pai na.",37,Job Seeker,Evening Peak,Moderate,60,Negative,Cost
499,"It was extremely hot inside the bus, and there was barely any airflow.",40,Freelancer,Evening Peak,High,63,Negative,Comfort
500,"I do not expect luxury, but at least the bus should be clean enough to sit comfortably.",60,Factory Worker,Morning Peak,Severe,61,Negative,Cleanliness
501,"During office time, availability is still poor. Demand is clearly higher than supply.",49,Small Business,Morning Peak,High,20,Negative,Availability
502,This route is hard for elderly passengers. Even healthy people struggle to board during peak hours.,25,Job Seeker,Evening Peak,Moderate,65,Negative,Accessibility
503,I felt comparatively secure throughout the journey.,26,Office Employee,Morning Peak,Severe,9,Positive,Safety
504,"The ride felt somewhat crowded, but I did not face any major safety issue.",29,Teacher,Evening Peak,Moderate,20,Neutral,Safety
505,I would say the cost was average for this route.,49,Freelancer,Morning Peak,High,11,Neutral,Cost
506,"The bus was busy but still manageable, which is a relief during peak time.",22,Teacher,Evening Peak,Moderate,5,Positive,Crowding
507,There seemed to be more buses on the road than usual.,37,Job Seeker,Morning Peak,High,6,Positive,Availability
508,The fare is not the only issue to the unclear way they collect it creates arguments almost every day.,30,Office Employee,Morning Peak,Low,61,Negative,Cost
509,The fare felt fair enough for the distance I traveled.,24,Teacher,Evening Peak,High,10,Positive,Cost
510,"The bus was cleaner than I expected, and the seating area was in decent shape.",58,Teacher,Evening Peak,Moderate,8,Positive,Cleanliness
511,I would say the cost was average for this route.,51,Driver,Evening Peak,High,13,Neutral,Cost
512,"Peak hour e local bus e comfort expect kora jay na, but ajke situation aro kharap chilo.",33,Homemaker,Evening Peak,Moderate,37,Negative,Comfort
513,"I was standing at Jatrabari for almost 19 minutes and still no bus came on time. For a weekday peak hour, this is exhausting.",42,Factory Worker,Evening Peak,Moderate,29,Negative,Delay
514,I could stand comfortably enough without being pushed around too much.,58,Small Business,Evening Peak,High,3,Positive,Crowding
515,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,44,Shopkeeper,Morning Peak,Severe,28,Negative,Safety
516,"The bus was cleaner than I expected, and the seating area was in decent shape.",56,Driver,Morning Peak,Moderate,6,Positive,Cleanliness
517,"The driver handled the bus carefully today, and the ride felt safer than usual.",38,Student,Morning Peak,Low,10,Positive,Safety
518,"The bus came sooner than I expected, which almost never happens during peak hour.",43,Freelancer,Morning Peak,High,12,Positive,Delay
519,"The staff were not especially helpful, but they were not very rude either.",24,Healthcare Worker,Evening Peak,Severe,11,Neutral,Staff Behavior
520,The bus was so full that I had to stand bent near the gate for almost the whole trip.,36,Teacher,Morning Peak,Low,28,Negative,Crowding
521,"The ride felt somewhat crowded, but I did not face any major safety issue.",40,Job Seeker,Morning Peak,High,8,Neutral,Safety
522,"Boarding was more orderly today, which made the trip feel safer.",60,Banker,Evening Peak,Severe,10,Positive,Safety
523,"I got enough information after asking around, though it was not very clear at first.",45,Small Business,Morning Peak,Moderate,18,Neutral,Information
524,The bus doors were crowded and there was no support for people who need extra time to board.,36,Shopkeeper,Morning Peak,High,48,Negative,Accessibility
525,"Traffic slowed the trip, but overall it was average.",44,Student,Morning Peak,Moderate,10,Neutral,Delay
526,"Bus e kono clear information chilo na, especially notun passenger der jonno eta problem.",27,Driver,Morning Peak,High,24,Negative,Information
527,Clear route and stop information would save passengers a lot of confusion.,37,Homemaker,Morning Peak,High,29,Negative,Information
528,"For a local bus, the condition was actually acceptable today.",60,Healthcare Worker,Morning Peak,Severe,9,Positive,Cleanliness
529,Even a small sign or proper announcement could have made this trip easier.,47,Freelancer,Evening Peak,Low,58,Negative,Information
530,"The inside looked used and worn, but not worse than usual.",25,Small Business,Evening Peak,Severe,14,Neutral,Cleanliness
531,"Peak hour e local bus e comfort expect kora jay na, but ajke situation aro kharap chilo.",34,Banker,Evening Peak,Severe,33,Negative,Comfort
532,"The route details were clear enough today, so I did not have to guess much.",58,Job Seeker,Evening Peak,High,11,Positive,Information
533,The bus did not stop properly and passengers had to get on while it was moving slowly. That is not safe at all.,45,Healthcare Worker,Evening Peak,Moderate,50,Negative,Safety
534,"The ride felt somewhat crowded, but I did not face any major safety issue.",23,Teacher,Morning Peak,Severe,13,Neutral,Safety
535,"Between heat, noise, and crowding, this felt like a very draining commute.",46,Homemaker,Evening Peak,High,34,Negative,Comfort
536,Service frequency was neither very good nor very bad.,43,Student,Morning Peak,Severe,20,Neutral,Availability
537,The seat condition was poor and there was no real comfort during the trip.,43,Homemaker,Evening Peak,High,50,Negative,Comfort
538,Helper er kotha bolar dhoron bhalo chilo na. Choto proshno korleo kharap bhabe jawab dicchilo.,23,Driver,Evening Peak,High,22,Negative,Staff Behavior
539,"There was some confusion, but I still reached the right destination.",25,Small Business,Morning Peak,Severe,14,Neutral,Information
540,"A bus came after some waiting, so availability was average today.",51,Shopkeeper,Morning Peak,Severe,16,Neutral,Availability
541,"Peak hour e local bus e comfort expect kora jay na, but ajke situation aro kharap chilo.",53,Office Employee,Evening Peak,High,65,Negative,Comfort
542,Accessibility er dike khub kom attention ache. Peak hour e nama-utha duitae kosto.,26,Banker,Evening Peak,Severe,36,Negative,Accessibility
543,"Peak hour e local bus e comfort expect kora jay na, but ajke situation aro kharap chilo.",32,Factory Worker,Morning Peak,High,45,Negative,Comfort
544,"There was some confusion, but I still reached the right destination.",26,Factory Worker,Evening Peak,Severe,11,Neutral,Information
545,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,47,Factory Worker,Evening Peak,Severe,62,Negative,Crowding
546,The bus was so full that I had to stand bent near the gate for almost the whole trip.,33,Job Seeker,Evening Peak,Severe,26,Negative,Crowding
547,Bus e emon bhir chilo je neme jabar agei chinta hoye jacchilo kivabe gate porjonto jabo.,21,Banker,Morning Peak,Severe,40,Negative,Crowding
548,I did not mind paying this fare because the trip was manageable.,57,Homemaker,Evening Peak,Severe,4,Positive,Cost
549,"People were pushing near the gate while boarding, and it felt risky, especially for women and older passengers.",38,Student,Evening Peak,Severe,58,Negative,Safety
550,Rush hour e safety niye onek tension lage. Driver o helper duijon e khub aggressive chilo.,38,Shopkeeper,Evening Peak,Severe,56,Negative,Safety
551,I did not mind paying this fare because the trip was manageable.,26,Freelancer,Evening Peak,Moderate,12,Positive,Cost
552,"There was pressure inside the bus, but not severe.",34,Shopkeeper,Evening Peak,Moderate,9,Neutral,Crowding
553,A calm and respectful attitude from the staff made the ride easier.,31,Banker,Evening Peak,High,3,Positive,Staff Behavior
554,"Safety was okay today, though the boarding process could be better.",50,Factory Worker,Evening Peak,Severe,19,Neutral,Safety
555,I paid more than usual today and there was no proper explanation from the conductor.,29,Small Business,Morning Peak,High,24,Negative,Cost
556,Getting on the bus was difficult because it barely stopped near the designated stop.,33,Banker,Morning Peak,Moderate,45,Negative,Accessibility
557,Crowding was less intense than I expected today.,58,Freelancer,Evening Peak,High,7,Positive,Crowding
558,Communication from the conductor was average today.,35,Student,Morning Peak,Moderate,12,Neutral,Staff Behavior
559,"I found a bus fairly quickly, even during the rush.",52,Freelancer,Morning Peak,High,12,Positive,Availability
560,There were far fewer buses than the number of waiting passengers. The line just kept getting longer.,57,Shopkeeper,Morning Peak,Moderate,51,Negative,Availability
561,"The vehicle looked poorly maintained, and it made an already tiring trip feel worse.",22,Student,Evening Peak,High,63,Negative,Cleanliness
562,"There was some waiting time, though it was still manageable.",30,Small Business,Morning Peak,Moderate,11,Neutral,Delay
563,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,49,Factory Worker,Morning Peak,High,36,Negative,Safety
564,"The inside of the bus was dusty, the seats were dirty, and there was a bad smell the whole way.",21,Student,Morning Peak,High,56,Negative,Cleanliness
565,Staff behavior made the whole ride more unpleasant than it needed to be.,40,Shopkeeper,Evening Peak,Moderate,58,Negative,Staff Behavior
566,Getting on the bus was difficult because it barely stopped near the designated stop.,30,Job Seeker,Morning Peak,Severe,54,Negative,Accessibility
567,The bus doors were crowded and there was no support for people who need extra time to board.,35,Office Employee,Evening Peak,Moderate,34,Negative,Accessibility
568,"If the service stays like this, the fare should not keep increasing.",28,Banker,Evening Peak,Severe,34,Negative,Cost
569,The bus was so packed that I kept worrying about my phone and wallet the whole trip.,55,Student,Morning Peak,High,64,Negative,Safety
570,"The ride was jerky, noisy, and uncomfortable, especially while standing.",58,Student,Evening Peak,Severe,19,Negative,Comfort
571,Crowding made the ride stressful from start to finish. I could barely breathe comfortably.,30,Freelancer,Morning Peak,Severe,29,Negative,Crowding
572,Bus ta onek nongra chilo. Gari te uthar por thekei uncomfortable lagchilo.,42,Teacher,Morning Peak,High,60,Negative,Cleanliness
573,"It was not cheap, but not unreasonable either.",42,Homemaker,Evening Peak,High,9,Neutral,Cost
574,"The stop access felt manageable, even during the busy hour.",58,Driver,Morning Peak,High,9,Positive,Accessibility
575,Accessibility er dike khub kom attention ache. Peak hour e nama-utha duitae kosto.,20,Job Seeker,Morning Peak,Moderate,29,Negative,Accessibility
